"publisherName","gameName","foundedBy","foundedDate"
"Ubisoft Entertainment SA","Pawly Pets: My Animal Hospital","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Blendo Games","Thirty Flights of Loving","http://dbpedia.org/resource/Brendon_Chung",2010-01-01
"Bethesda Softworks LLC","Quake Live","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Devolver Digital Inc.","Ragnorium","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Capcom Co. Ltd.","Clock Tower 3","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","Cloudy with a Chance of Meatballs","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Capcom Co. Ltd.","Code Name: Viper","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Ningen Heiki Dead Fox","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","Cold Fear","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Emergency Heroes","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Devolver Digital Inc.","Enter the Gungeon","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Humongous Entertainment Inc.","","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","Freddi Fish 2:","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","The Case of the Haunted Schoolhouse","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","","http://dbpedia.org/resource/Shelley_Day",1992-01-01
"Humongous Entertainment Inc.","Freddi Fish 2:","http://dbpedia.org/resource/Shelley_Day",1992-01-01
